team,group,elo,elo_rank,wc_history,wr5,gd5,gs5,cs5,wr10,gd10,wr4y,gd4y,avg_group_opp_elo,group_advance_probability,champion_probability,champion_rank
Egypt,G,1720.2274338242776,32,0.2,0.6,0.8,1.4,0.6,0.65,0.5,0.65,0.5,1727.9458517606872,0.7338,0.0064,27
Cote d'Ivoire,E,1714.450154287268,33,0.20000000000000004,0.8,1.6,2.6,0.6,0.75,1.3,0.75,1.3,1754.2962530248685,0.7064,0.0062,28
Australia,D,1813.7324339061688,18,0.2790473353538028,0.4,0.0,1.4,0.2,0.7,0.6,0.7,0.6,1790.6865284398157,0.5466,0.0048,29
Sweden,F,1682.1892286826806,37,0.4395840974244669,0.5,-0.2,1.6,0.0,0.5,-0.2,0.5,-0.2,1799.5368153454358,0.5204,0.0034,30
Austria,J,1752.386726486788,29,0.2,0.7,1.2,1.8,0.4,0.85,2.3,0.85,2.3,1814.0683581562625,0.6004,0.003,31
Tunisia,F,1659.1654609452462,39,0.2,0.5,0.0,1.0,0.4,0.55,0.4,0.55,0.4,1807.2114045912474,0.533,0.0018,32
Uzbekistan,K,1765.4366441063396,27,0.0,0.7,0.8,1.4,0.6,0.65,0.8,0.65,0.8,1800.758392385397,0.5628,0.0016,33
Scotland,C,1724.9942592774503,31,0.20000000000000004,0.4,0.0,1.6,0.0,0.55,0.6,0.55,0.6,1779.8483097280416,0.566,0.0014,34
Panama,L,1741.0768314167067,30,0.2,0.6,0.6,1.4,0.2,0.65,0.5,0.65,0.5,1767.5452481369111,0.548,0.0012,35
South Africa,A,1607.584595579377,42,0.20000000000000004,0.3,-0.4,1.2,0.0,0.55,0.4,0.55,0.4,1765.7203400945561,0.5662,0.0008,36
Jordan,J,1707.618103357402,34,0.0,0.6,0.2,1.6,0.4,0.6,0.5,0.6,0.5,1828.9912325327243,0.4604,0.0008,36
Haiti,C,1604.0494198801289,44,0.2,0.5,-0.2,0.8,0.4,0.5,0.1,0.5,0.1,1820.1632561938156,0.4272,0.0008,36
Czech Republic,A,1679.3567974147252,38,0.2,0.6,1.2,2.4,0.4,0.6,0.6,0.6,0.6,1741.7962728161065,0.5326,0.0008,36
Iraq,I,1706.8545621425249,35,0.2,0.6,0.2,1.2,0.2,0.7,0.4,0.7,0.4,1863.4272798642844,0.478,0.0006,40
Congo DR,K,1686.8556468494362,36,0.0,0.7,1.0,1.4,0.6,0.8,0.9,0.8,0.9,1826.9520581376976,0.5122,0.0006,40
Ghana,L,1558.8341380790662,47,0.3224541465430352,0.2,-1.4,0.6,0.2,0.45,0.2,0.45,0.2,1828.2928125827912,0.4906,0.0006,40
Bosnia-Herzegovina,B,1591.9193999449549,45,0.2,0.7,1.0,2.0,0.0,0.6,1.0,0.6,1.0,1711.8793169561668,0.5124,0.0004,43
Qatar,B,1585.7277430508886,46,0.2,0.3,-0.8,0.8,0.0,0.3,-1.0,0.3,-1.0,1713.9432025875221,0.5194,0.0002,44
Saudi Arabia,H,1650.276032197694,40,0.21824862559679856,0.2,-1.2,0.6,0.0,0.45,-0.4,0.45,-0.4,1808.6297181755137,0.4626,0.0,45
New Zealand,G,1629.7481091980233,41,0.2,0.3,-0.4,1.2,0.0,0.25,-0.6,0.25,-0.6,1758.1056266361054,0.5342,0.0,45
Curacao,E,1551.081440514415,48,0.0,0.4,0.2,1.8,0.4,0.5,0.3,0.5,0.3,1808.752490949153,0.2738,0.0,45
Cabo Verde,H,1607.3116792976132,43,0.0,0.5,0.2,1.4,0.4,0.65,0.7,0.65,0.7,1822.9511691422074,0.3782,0.0,45
